"http1_single_message_1","1","16","16","16","16","16","16","16"
"http1_single_message_1_full_request","1","395","395","395","395","395","395","395"
"http2_single_message_1","1","61","61","61","61","61","61","61"
"http2_single_message_1_full_request","1","180","180","180","180","180","180","180"
"http1_stream_message_1","1","7","7","7","7","7","7","7"
"http1_stream_message_1_full_request","1","95","95","95","95","95","95","95"
"http2_stream_message_1","1","15","15","15","15","15","15","15"
"http2_stream_message_1_full_request","1","113","113","113","113","113","113","113"
"http1_payload_message_1","1","6","6","6","6","6","6","6"
"http1_payload_message_1_full_request","1","92","92","92","92","92","92","92"
"http2_payload_message_1","1","17","17","17","17","17","17","17"
"http2_payload_message_1_full_request","1","106","106","106","106","106","106","106"
"http1_single_message_10","10","4","5","4","8","6","8","8"
"http1_single_message_10_full_request","1","150","150","150","150","150","150","150"
"http2_single_message_10","10","46","44","8","49","49","49","49"
"http2_single_message_10_full_request","1","147","147","147","147","147","147","147"
"http1_stream_message_10","1","9","9","9","9","9","9","9"
"http1_stream_message_10_full_request","1","93","93","93","93","93","93","93"
"http2_stream_message_10","1","10","10","10","10","10","10","10"
"http2_stream_message_10_full_request","1","90","90","90","90","90","90","90"
"http1_payload_message_10","1","5","5","5","5","5","5","5"
"http1_payload_message_10_full_request","1","84","84","84","84","84","84","84"
"http2_payload_message_10","1","8","8","8","8","8","8","8"
"http2_payload_message_10_full_request","1","94","94","94","94","94","94","94"
"http1_single_message_100","100","5","6","3","13","7","10","13"
"http1_single_message_100_full_request","1","856","856","856","856","856","856","856"
"http2_single_message_100","100","28","26","9","38","31","36","38"
"http2_single_message_100_full_request","1","153","153","153","153","153","153","153"
"http1_stream_message_100","1","14","14","14","14","14","14","14"
"http1_stream_message_100_full_request","1","111","111","111","111","111","111","111"
"http2_stream_message_100","1","12","12","12","12","12","12","12"
"http2_stream_message_100_full_request","1","102","102","102","102","102","102","102"
"http1_payload_message_100","1","10","10","10","10","10","10","10"
"http1_payload_message_100_full_request","1","88","88","88","88","88","88","88"
"http2_payload_message_100","1","11","11","11","11","11","11","11"
"http2_payload_message_100_full_request","1","97","97","97","97","97","97","97"
